url,budget,boxOffice,isWinner,oscarWins,oscarNom,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Metascore,imdbRating,imdbVotes,imdbID,tomatoMeter,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,DVD,Production,Decade
https://en.wikipedia.org/wiki/127_Hours,18000000,60700000,false,0,6,127 Hours,2010-01-31T21:00:00.000Z,R,2011-01-27T21:00:00.000Z,93,Adventure,Danny Boyle,"Danny Boyle (screenplay), Simon Beaufoy (screenplay), Aron Ralston (book)","James Franco, Kate Mara, Amber Tamblyn, Sean Bott","127 Hours is the true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah. Over the next five days Ralston examines his life and survives the elements to finally discover he has the courage and the wherewithal to extricate himself by any means necessary, scale a 65 foot wall and hike over eight miles before he can be rescued. Throughout his journey, Ralston recalls friends, lovers, family, and the two hikers he met before his accident. Will they be the last two people he ever had the chance to meet?",English,USA,82,7.6,260232,tt1542344,93,8.3,217,202,15,85,4,93637,2011-02-28T21:00:00.000Z,Fox Searchlight,2010s
https://en.wikipedia.org/wiki/The_Tree_of_Life_(film),32000000,54300000,false,0,3,The Tree of Life,2011-01-31T21:00:00.000Z,PG-13,2011-05-16T21:00:00.000Z,139,Drama,Terrence Malick,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken","The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father (Brad Pitt). Jack (played as an adult by Sean Penn) finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",English,USA,85,6.7,128255,tt0478304,84,8.1,254,214,40,60,3.3,58979,2011-10-10T21:00:00.000Z,Fox Searchlight,2010s
https://en.wikipedia.org/wiki/Midnight_in_Paris,17000000,151119219,false,1,4,Midnight in Paris,2011-01-31T21:00:00.000Z,PG-13,2011-06-09T21:00:00.000Z,94,Comedy,Woody Allen,Woody Allen,"Owen Wilson, Rachel McAdams, Kurt Fuller, Mimi Kennedy","Gil and Inez travel to Paris as a tag-along vacation on her parents' business trip. Gil is a successful Hollywood writer but is struggling on his first novel. He falls in love with the city and thinks they should move there after they get married, but Inez does not share his romantic notions of the city or the idea that the 1920s was the golden age. When Inez goes off dancing with her friends, Gil takes a walk at midnight and discovers what could be the ultimate source of inspiration for writing. Gil's daily walks at midnight in Paris could take him closer to the heart of the city but further from the woman he's about to marry.",English,Spain,81,7.7,278762,tt1605783,93,7.8,207,192,15,82,4,79486,2011-12-19T21:00:00.000Z,Sony Pictures,2010s
https://en.wikipedia.org/wiki/The_Help_(film),25000000,216600000,false,1,3,The Help,2011-01-31T21:00:00.000Z,PG-13,2011-08-09T21:00:00.000Z,146,Drama,Tate Taylor,"Tate Taylor (screenplay), Kathryn Stockett (novel)","Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer","Set in Mississippi during the 1960s, Skeeter (Stone) is a southern society girl who returns from college determined to become a writer, but turns her friends' lives -- and a Mississippi town -- upside down when she decides to interview the black women who have spent their lives taking care of prominent southern families. Aibileen (Davis), Skeeter's best friend's housekeeper, is the first to open up -- to the dismay of her friends in the tight-knit black community. Despite Skeeter's life-long friendships hanging in the balance, she and Aibileen continue their collaboration and soon more women come forward to tell their stories -- and as it turns out, they have a lot to say. Along the way, unlikely friendships are forged and a new sisterhood emerges, but not before everyone in town has a thing or two to say themselves when they become unwittingly -- and unwillingly -- caught up in the changing times.",English,USA,62,8.1,292349,tt1454029,76,7,203,154,49,89,4.2,105257,2011-12-05T21:00:00.000Z,DreamWorks,2010s
https://en.wikipedia.org/wiki/Moneyball_(film),50000000,110200000,false,0,6,Moneyball,2011-01-31T21:00:00.000Z,PG-13,2011-09-22T21:00:00.000Z,133,Biography,Bennett Miller,"Steven Zaillian (screenplay), Aaron Sorkin (screenplay), Stan Chervin (story), Michael Lewis (book)","Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,English,USA,87,7.6,268380,tt1210166,94,8,238,224,14,86,4,88999,2012-01-09T21:00:00.000Z,Sony Pictures,2010s
https://en.wikipedia.org/wiki/Hugo_(film),170000000,189000000,false,5,11,Hugo,2011-01-31T21:00:00.000Z,PG,2011-11-22T21:00:00.000Z,126,Adventure,Martin Scorsese,"John Logan (screenplay), Brian Selznick (book)","Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz","Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key. Hugo needs to find the key to unlock the secret he believes it contains. On his adventures, he meets George Melies, a shopkeeper, who works in the train station, and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",English,USA,83,7.6,230279,tt0970179,94,8.3,204,191,13,78,3.9,80392,2012-02-27T21:00:00.000Z,Paramount,2010s
https://en.wikipedia.org/wiki/The_Descendants,20000000,177243185,false,1,5,The Descendants,2011-01-31T21:00:00.000Z,R,2011-12-08T21:00:00.000Z,115,Comedy,Alexander Payne,"Alexander Payne (screenplay), Nat Faxon (screenplay), Jim Rash (screenplay), Kaui Hart Hemmings (novel)","George Clooney, Shailene Woodley, Amara Miller, Nick Krause",A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.,English,USA,84,7.3,197094,tt1033575,89,8.1,237,211,26,79,3.8,68765,2012-03-12T21:00:00.000Z,Fox Searchlight,2010s
https://en.wikipedia.org/wiki/War_Horse_(film),66000000,177600000,false,0,8,War Horse,2011-01-31T21:00:00.000Z,PG-13,2011-12-24T21:00:00.000Z,146,Drama,Steven Spielberg,"Lee Hall (screenplay), Richard Curtis (screenplay), Michael Morpurgo (novel), Nick Stafford (stage play)","Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup","Dartmoor,1914: To his wife's dismay farmer Narracott buys a thoroughbred horse rather than a plough animal, but when his teenaged son Albert trains the horse and calls him Joey, the two becoming inseparable. When his harvest fails, the farmer has to sell Joey to the British cavalry and he is shipped to France where, after a disastrous offensive he is captured by the Germans and changes hands twice more before he is found, caught in the barbed wire in No Man's Land four years later and freed. He is returned behind British lines where Albert, now a private, has been temporarily blinded by gas, but still recognizes his beloved Joey. However, as the Armistice is declared Joey is set to be auctioned off. After all they have been through will Albert and Joey return home together?",English,USA,72,7.2,109157,tt1568911,77,7,214,165,49,74,3.8,68700,2012-04-02T21:00:00.000Z,Walt Disney Pictures,2010s
https://en.wikipedia.org/wiki/Extremely_Loud_and_Incredibly_Close_(film),40000000,55200000,false,0,2,Extremely Loud & Incredibly Close,2011-01-31T21:00:00.000Z,PG-13,2012-01-19T21:00:00.000Z,129,Adventure,Stephen Daldry,"Eric Roth (screenplay), Jonathan Safran Foer (novel)","Tom Hanks, Thomas Horn, Sandra Bullock, Zoe Caldwell","A troubled young boy, Oskar, is trying to cope with the loss of his father. Oskar starts lashing out at his mother and the world. Until a year later, he discovers a mysterious key in his father's belongings and embarks on a scavenger hunt to find the matching lock, just as he used to when his father was alive. On this journey he is bound to meet a lot of people and learn a lot about himself and his family, but will he ever find the lock?",English,USA,46,6.9,76175,tt0477302,46,5.5,178,81,97,62,3.5,79259,2012-03-26T21:00:00.000Z,Warner Bros.,2010s
https://en.wikipedia.org/wiki/The_Artist_(film),15000000,133400000,true,5,10,The Artist,2011-01-31T21:00:00.000Z,PG-13,2012-01-19T21:00:00.000Z,100,Comedy,Michel Hazanavicius,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell","Outside a movie premiere, enthusiastic fan Peppy Miller literally bumps into the swashbuckling hero of the silent film, George Valentin. The star reacts graciously and Peppy plants a kiss on his cheek as they are surrounded by photographers. The headlines demand: ""Who's That Girl?"" and Peppy is inspired to audition for a dancing bit-part at the studio. However as Peppy slowly rises through the industry, the introduction of talking-pictures turns Valentin's world upside-down.",English,France,89,8,177993,tt1655442,97,8.8,274,267,7,88,4.2,56841,2012-06-25T21:00:00.000Z,The Weinstein Co.,2010s
https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild,1800000,21900000,false,0,4,Beasts of the Southern Wild,2012-01-31T21:00:00.000Z,PG-13,2012-07-04T21:00:00.000Z,93,Drama,Benh Zeitlin,"Lucy Alibar (screenplay), Benh Zeitlin (screenplay), Lucy Alibar (stage play ""Juicy and Delicious"")","Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes","Hushpuppy, an intrepid six-year-old girl, lives with her father, Wink, in the Bathtub, a southern Delta community at the edge of the world. Wink's tough love prepares her for the unraveling of the universe; for a time when he's no longer there to protect her. When Wink contracts a mysterious illness, nature flies out of whack, temperatures rise, and the ice caps melt, unleashing an army of prehistoric creatures called aurochs. With the waters rising, the aurochs coming, and Wink's health fading, Hushpuppy goes in search of her lost mother.",English,USA,86,7.3,66982,tt2125435,86,8.2,184,158,26,76,3.8,38546,2012-12-03T21:00:00.000Z,Fox Searchlight,2010s
https://en.wikipedia.org/wiki/Amour_(2012_film),8900000,29900000,false,1,5,Amour,2012-01-31T21:00:00.000Z,PG-13,2012-09-19T21:00:00.000Z,127,Drama,Michael Haneke,Michael Haneke (screenplay),"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud","Georges and Anne are a couple of retired music teachers enjoying life in their eighties. However, Anne suddenly has a stroke at breakfast and their lives are never the same. That incident begins Anne's harrowingly steep physical and mental decline as Georges attempts to care for her at home as she wishes. Even as the fruits of their lives and career remain bright, the couple's hopes for some dignity prove a dispiriting struggle even as their daughter enters the conflict. In the end, George, with his love fighting against his own weariness and diminished future on top of Anne's, is driven to make some critical decisions for them both.",French,France,94,7.9,65649,tt1602620,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,N/A,2010s
https://en.wikipedia.org/wiki/Argo_(2012_film),44500000,232300000,true,3,7,Argo,2012-01-31T21:00:00.000Z,R,2012-10-11T21:00:00.000Z,120,Drama,Ben Affleck,"Chris Terrio (screenplay), Tony Mendez (based on a selection from ""The Master of Disguise"" by), Joshuah Bearman (based on the Wired Magazine article ""The Great Escape"" by)","Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman","In 1979, the American embassy in Iran was invaded by Iranian revolutionaries and several Americans were taken hostage. However, six managed to escape to the official residence of the Canadian Ambassador and the CIA was ordered to get them out of the country. With few options, exfiltration expert Tony Mendez devised a daring plan: create a phony Canadian film project looking to shoot in Iran and smuggle the Americans out as its production crew. With the help of some trusted Hollywood contacts, Mendez created the ruse and proceeded to Iran as its associate producer. However, time was running out with the Iranian security forces closing in on the truth while both his charges and the White House had grave doubts about the operation themselves.",English,USA,86,7.8,415780,tt1024648,96,8.4,300,287,13,90,4.2,203876,2013-02-18T21:00:00.000Z,Warner Bros.,2010s
https://en.wikipedia.org/wiki/Lincoln_(2012_film),65000000,275300000,false,2,12,Lincoln,2012-01-31T21:00:00.000Z,PG-13,2012-11-15T21:00:00.000Z,150,Biography,Steven Spielberg,"Tony Kushner (screenplay), Doris Kearns Goodwin (book)","Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","In 1865, as the American Civil War winds inexorably toward conclusion, U.S. president Abraham Lincoln endeavors to achieve passage of the landmark constitutional amendment which will forever ban slavery from the United States. However, his task is a race against time, for peace may come at any time, and if it comes before the amendment is passed, the returning southern states will stop it before it can become law. Lincoln must, by almost any means possible, obtain enough votes from a recalcitrant Congress before peace arrives and it is too late. Yet the president is torn, as an early peace would save thousands of lives. As the nation confronts its conscience over the freedom of its entire population, Lincoln faces his own crisis of conscience -- end slavery or end the war.",English,USA,86,7.4,185318,tt0443272,90,8,250,224,26,80,4,243861,2013-03-25T21:00:00.000Z,DreamWorks,2010s
https://en.wikipedia.org/wiki/Life_of_Pi_(film),120000000,609000000,false,4,11,Life of Pi,2012-01-31T21:00:00.000Z,PG,2012-11-20T21:00:00.000Z,127,Adventure,Ang Lee,"Yann Martel (novel), David Magee (screenplay)","Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur","In Canada, a writer visits the Indian storyteller Pi Patel and asks him to tell his life story. Pi tells the story of his childhood in Pondicherry, India, and the origin of his nickname. One day, his father, a zoo owner, explains that the municipality is no longer supporting the zoo and he has hence decided to move to Canada, where the animals the family owns would also be sold. They board on a Japanese cargo ship with the animals and out of the blue, there is a storm, followed by a shipwrecking. Pi survives in a lifeboat with a zebra, an orangutan, a hyena and a male Bengal tiger nicknamed Richard Parker. They are adrift in the Pacific Ocean, with aggressive hyena and Richard Parker getting hungry. Pi needs to find a way to survive.",English,USA,79,8,399787,tt0454876,87,7.9,227,197,30,84,4.1,166828,2013-03-11T21:00:00.000Z,20th Century Fox,2010s
https://en.wikipedia.org/wiki/Django_Unchained,100000000,425400000,false,2,5,Django Unchained,2012-01-31T21:00:00.000Z,R,2012-12-24T21:00:00.000Z,165,Western,Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","Former dentist, Dr. King Schultz, buys the freedom of a slave, Django, and trains him with the intent to make him his deputy bounty hunter. Instead, he is led to the site of Django's wife who is under the hands of Calvin Candie, a ruthless plantation owner.",English,USA,81,8.5,843569,tt1853728,88,8,248,218,30,91,4.3,421654,2013-04-15T21:00:00.000Z,The Weinstein Co.,2010s
https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film),61000000,441800000,false,3,8,Les Misérables,2012-01-31T21:00:00.000Z,PG-13,2012-12-24T21:00:00.000Z,158,Drama,Tom Hooper,"William Nicholson (screenplay), Alain Boublil (screenplay), Claude-Michel Schönberg (screenplay), Herbert Kretzmer (screenplay), Alain Boublil (stage musical ""Les Misérables""), Claude-Michel Schönberg (stage musical ""Les Misérables""), Victor Hugo (novel)","Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried","Jean Valjean, known as Prisoner 24601, is released from prison and breaks parole to create a new life for himself while evading the grip of the persistent Inspector Javert. Set in post-revolutionary France, the story reaches resolution against the background of the June Rebellion.",English,USA,63,7.6,227988,tt1707386,70,6.9,228,159,69,79,4,263504,2013-03-21T21:00:00.000Z,Universal,2010s
https://en.wikipedia.org/wiki/Silver_Linings_Playbook,21000000,236400000,false,1,8,Silver Linings Playbook,2012-01-31T21:00:00.000Z,R,2012-12-24T21:00:00.000Z,122,Comedy,David O. Russell,"David O. Russell (screenplay), Matthew Quick (novel)","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver","Against medical advice and without the knowledge of her husband Pat Solatano Sr., caring Dolores Solatano discharges her adult son, Pat Solatano Jr., from a Maryland mental health institution after his minimum eight month court ordered stint. The condition of the release includes Pat Jr. moving back in with his parents in their Philadelphia home. Although Pat Jr.'s institutionalization was due to him beating up the lover of his wife Nikki, he was diagnosed with bipolar disorder. Nikki has since left him and has received a restraining order against him. Although he is on medication (which he doesn't take because of the way it makes him feel) and has mandatory therapy sessions, Pat Jr. feels like he can manage on the outside solely by healthy living and looking for the ""silver linings"" in his life. His goals are to get his old job back as a substitute teacher, but more importantly reunite with Nikki. He finds there are certain instances where he doesn't cope well, however no less so than some others who have never been institutionalized, such as his Philadelphia Eagles obsessed OCD father who has resorted to being a bookie to earn a living, his best friend Ronnie who quietly seethes over the control wielded by his wife Veronica, and Veronica's widowed sister, Tiffany Maxwell, a recovering sex addict. In their fragile mental states, Pat Jr. and Tiffany embark on a love/hate friendship based primarily on what help the other can provide in achieving their individual goals. But they may reevaluate their goals as their relationship progresses.",English,USA,81,7.8,493310,tt1045658,92,8.2,228,209,19,86,4.1,256098,2013-04-29T21:00:00.000Z,The Weinstein Co.,2010s
